Vendor,Product,Version,Vulnerabilities Fixed
Modernaweb Studio,Black Widgets For Elementor,Unknown,CVE-2025-22806
Mohammad Hossein Aghanabi,Hide Login+,Unknown,CVE-2025-22341
Mohsin Rasool,Twitter Bootstrap Collapse aka Accordian Shortcode,Unknown,CVE-2025-22743
Mohsin khan,WP Front-end login and register,Unknown,CVE-2025-23540
MojofyWP,Product Carousel For WooCommerce – WoorouSell,Unknown,CVE-2025-22724
Moshiur Rahman Mehedi,FP RSS Category Excluder,Unknown,CVE-2025-23679
Moxa,MGate 5121 Series,1.0,CVE-2025-0193
Mozilla,Firefox,unspecified,"CVE-2025-0237, CVE-2025-0238, CVE-2025-0239, CVE-2025-0240, CVE-2025-0241, CVE-2025-0242, CVE-2025-0243, CVE-2025-0244, CVE-2025-0245, CVE-2025-0246, CVE-2025-0247, CVE-2025-1009, CVE-2025-1010, CVE-2025-1011, CVE-2025-1012, CVE-2025-1013, CVE-2025-1014, CVE-2025-1016, CVE-2025-1017, CVE-2025-1018, CVE-2025-1019, CVE-2025-1020"
Mozilla,Firefox for iOS,unspecified,"CVE-2025-23108, CVE-2025-23109"
Mozilla,Thunderbird,unspecified,"CVE-2025-0510, CVE-2025-1015"
Mozilla,Web Push,Unknown,CVE-2025-23720
MuffinGroup,Betheme,*,CVE-2025-0450
Mukesh Dak,MD Custom content after or before of post,Unknown,CVE-2025-23463
MultiVendorX,WC Marketplace,Unknown,CVE-2025-24706
Musing Studio,WriteFreely,0,CVE-2025-24337
Myriad Solutionz,Stars SMTP Mailer,Unknown,CVE-2025-23453
N.O.U.S. Open Useful and Simple,Event post,Unknown,CVE-2025-24585
NCiphers,SEO Bulk Editor,Unknown,CVE-2025-22587
NEC Corporation,WG2600HS,Ver.1.7.2 and earlier,"CVE-2025-0354, CVE-2025-0355"
NEC Corporation,WX1500HP,Ver.1.4.2 and earlier,CVE-2025-0356
NETGEAR,XR1000,0,CVE-2025-25246
NLnet Labs,Routinator,0.14.1,CVE-2025-0638
Nabaraj Chapagain,NC Wishlist for Woocommerce,Unknown,CVE-2025-22505
Nagy Sandor,Simple Photo Sphere,Unknown,CVE-2025-22532
NamelessMC,Nameless,<= 2.1.2,"CVE-2025-22142, CVE-2025-22144"
Nasir,Scroll Top Advanced,Unknown,CVE-2025-23444
Nativery Developer,Nativery,Unknown,CVE-2025-22781
Navnish Bhardwaj,WP Social Broadcast,Unknown,CVE-2025-23545
Nazmul Ahsan,MDC YouTube Downloader,Unknown,CVE-2025-23639
Nazmul Ahsan,Rename Author Slug,Unknown,CVE-2025-23640
NetVision Information,airPASS,2.9.0,"CVE-2025-0455, CVE-2025-0456, CVE-2025-0457"
New Media One,GeoDigs,Unknown,CVE-2025-23628
New Normal LLC,LucidLMS,Unknown,CVE-2025-22498
New Rock Technologies,OM500 IP-PBX,All,"CVE-2025-0680, CVE-2025-0681"
NgocCode,WP Load Gallery,Unknown,CVE-2025-23942
Nik Chankov,Autocompleter,Unknown,CVE-2025-22325
Nik Sudan,WordPress Additional Logins,Unknown,CVE-2025-23614
Niklas Olsson,Universal Analytics Injector,Unknown,CVE-2025-23483
Nikos M.,Top Flash Embed,Unknown,CVE-2025-23841
Nilesh Shiragave,WordPress Gallery Plugin,Unknown,CVE-2025-23842
NinjaTeam,GDPR CCPA Compliance Support,Unknown,CVE-2025-24591
Ninos Ego,FlashCounter,Unknown,CVE-2025-23978
NirWp Team,Nirweb support,Unknown,CVE-2025-22695
Nirmal Kumar Ram,WP Social Stream,Unknown,CVE-2025-25074
Nitesh Singh,Awesome Timeline,Unknown,CVE-2025-23747
Node.js,node,20.18.1,CVE-2025-23090
Noel Jarencio.,Smoothness Slider Shortcode,Unknown,CVE-2025-22555
NotFound,AIO Shortcodes,Unknown,CVE-2025-24620
NotFound,AZ Content Finder,Unknown,CVE-2025-23727
NotFound,Admin and Site Enhancements (ASE) Pro,Unknown,CVE-2025-24653
NotFound,Bauernregeln,Unknown,CVE-2025-23838
NotFound,Bit.ly linker,Unknown,CVE-2025-23674
NotFound,Blue Wrench Video Widget,Unknown,CVE-2025-23809
NotFound,Bonjour Bar,Unknown,CVE-2025-22262
NotFound,Bridge Core,Unknown,CVE-2025-24744
NotFound,Brizy Pro,Unknown,CVE-2025-22763
NotFound,CBX Accounting & Bookkeeping,Unknown,CVE-2025-23622
NotFound,CGD Arrange Terms,Unknown,CVE-2025-23752
NotFound,CMC MIGRATE,Unknown,CVE-2025-23746
NotFound,Calendi,Unknown,CVE-2025-23606
NotFound,Causes – Donation Plugin,Unknown,CVE-2025-23621
NotFound,Contact Form 7 Round Robin Lead Distribution,Unknown,"CVE-2025-23784, CVE-2025-23812"
NotFound,Content Mirror,Unknown,CVE-2025-23769
NotFound,Content Planner,Unknown,CVE-2025-23631
NotFound,ContentOptin Lite,Unknown,CVE-2025-23589
NotFound,CtyGrid Hyp3rL0cal Search,Unknown,CVE-2025-23695
NotFound,Custom CSS Addons,Unknown,CVE-2025-23578
NotFound,Custom Page Extensions,Unknown,CVE-2025-23888
NotFound,Customizable Captcha and Contact Us,Unknown,CVE-2025-23503
NotFound,Cyber Slider,Unknown,CVE-2025-23630
NotFound,Database Sync,Unknown,CVE-2025-23486
NotFound,EELV Newsletter,Unknown,CVE-2025-23602
NotFound,EU DSGVO Helper,Unknown,CVE-2025-23866
NotFound,Easy Filtering,Unknown,CVE-2025-23732
NotFound,EmailPress,Unknown,CVE-2025-23593
NotFound,FLX Dashboard Groups,Unknown,CVE-2025-23730
NotFound,FWD Slider,Unknown,CVE-2025-23462
NotFound,Fast Tube,Unknown,CVE-2025-23770
NotFound,FooGallery Captions,Unknown,CVE-2025-23889
NotFound,Gigaom Sphinx,Unknown,CVE-2025-23734
NotFound,Group category creator,Unknown,CVE-2025-23603
NotFound,History timeline,Unknown,CVE-2025-23475
NotFound,HyperComments,Unknown,CVE-2025-23509
NotFound,Image Gallery Box by CRUDLab,Unknown,CVE-2025-23938
NotFound,InFunding,Unknown,CVE-2025-23768
NotFound,Instant Appointment,Unknown,CVE-2025-23672
NotFound,Jet Skinner for BuddyPress,Unknown,CVE-2025-23706
NotFound,LH Email,Unknown,CVE-2025-23676
NotFound,LearnDash LMS,Unknown,CVE-2025-24662
NotFound,Legal +,Unknown,CVE-2025-23835
NotFound,Links/Problem Reporter,Unknown,CVE-2025-23834
NotFound,LocalGrid,Unknown,CVE-2025-23678
NotFound,Lockets,Unknown,CVE-2025-23923
NotFound,MACME,Unknown,CVE-2025-23683
NotFound,MJ Contact us,Unknown,CVE-2025-23885
NotFound,MLL Audio Player MP3 Ajax,Unknown,CVE-2025-23561
NotFound,Mapbox for WP Advanced,Unknown,CVE-2025-22772
NotFound,Menus Plus+,Unknown,CVE-2025-23910
NotFound,Mind3doM RyeBread Widgets,Unknown,CVE-2025-23722
NotFound,Multi Uploader for Gravity Forms,Unknown,CVE-2025-23921
NotFound,Multiple Carousel,Unknown,CVE-2025-22553
NotFound,Muzaara Google Ads Report,Unknown,CVE-2025-23914
NotFound,Network-Favorites,Unknown,CVE-2025-23737
NotFound,One Backend Language,Unknown,CVE-2025-23837
NotFound,PAFacile,Unknown,CVE-2025-23755
NotFound,Pootle button,Unknown,CVE-2025-23758
NotFound,Preloader Quotes,Unknown,CVE-2025-23682
NotFound,Private Messages for UserPro,Unknown,"CVE-2025-22311, CVE-2025-22322"
NotFound,Quick Count,Unknown,CVE-2025-23932
NotFound,Quote me,Unknown,CVE-2025-23711
NotFound,ReadMe Creator,Unknown,CVE-2025-23643
NotFound,Rezdy Reloaded,Unknown,CVE-2025-23604
NotFound,RomanCart,Unknown,CVE-2025-23685
NotFound,Simple Locator,Unknown,CVE-2025-22513
NotFound,Simple shortcode buttons,Unknown,CVE-2025-23449
NotFound,Smallerik File Browser,Unknown,CVE-2025-23918
NotFound,Staging CDN,Unknown,CVE-2025-23696
NotFound,Sticky Button,Unknown,CVE-2025-23839
NotFound,Store Locator,Unknown,CVE-2025-23422
NotFound,Tab My Content,Unknown,CVE-2025-23601
NotFound,Translation.Pro,Unknown,CVE-2025-23498
NotFound,Traveler Code,Unknown,"CVE-2025-22699, CVE-2025-22700"
NotFound,Traveler Layout Essential For Elementor,Unknown,CVE-2025-22701
NotFound,Ultimate Events,Unknown,CVE-2025-23610
NotFound,WH Cache & Security,Unknown,CVE-2025-23611
NotFound,WM Options Import Export,Unknown,CVE-2025-23781
NotFound,WP Block Pack,Unknown,CVE-2025-23874
NotFound,WP Cloud,Unknown,CVE-2025-23819
NotFound,WP Download Codes,Unknown,CVE-2025-23882
NotFound,WP IMAP Auth,Unknown,CVE-2025-23506
NotFound,WP2APP,Unknown,CVE-2025-23811
NotFound,WPDB to Sql,Unknown,CVE-2025-23774
NotFound,WPJobBoard,Unknown,CVE-2025-24781
NotFound,WooCommerce Order Search,Unknown,CVE-2025-23495
NotFound,WordPress File Search,Unknown,CVE-2025-23867
NotFound,WordPress Local SEO,Unknown,CVE-2025-23931
NotFound,XLSXviewer,Unknown,CVE-2025-23562
NotFound,Youtube Video Grid,Unknown,CVE-2025-23634
NotFound,dForms,Unknown,CVE-2025-23592
NotFound,eMarksheet,Unknown,CVE-2025-23599
Notifikacie.sk,Notifikácie.sk,Unknown,CVE-2025-23596
NowButtons.com,Call Now Button,Unknown,CVE-2025-24738
Nuanced Media,WP Meetup,Unknown,CVE-2025-23916
"Nurul Amin, Mohammad Saiful Islam",WP Smart Tooltip,Unknown,CVE-2025-23669
ORION,Allada T-shirt Designer for Woocommerce,Unknown,CVE-2025-22363
OTRS AG,OTRS,7.0.x,"CVE-2025-24389, CVE-2025-24390"
OTWthemes,Widgetize Pages Light,Unknown,CVE-2025-22313
Octrace Studio,WordPress HelpDesk & Support Ticket System Plugin – Octrace Support,Unknown,CVE-2025-22762
Ofek Nakar,Virtual Bot,Unknown,"CVE-2025-22538, CVE-2025-22542"
Olaf Lederer,Ajax Contact Form,Unknown,CVE-2025-22761
Olaf Lederer,EO4WP,Unknown,CVE-2025-22327
Oleksandr Ustymenko,University Quizzes Online,Unknown,CVE-2025-23724
Oliver Schaal,Floatbox Plus,Unknown,CVE-2025-23617
Oliver Schaal,GravatarLocalCache,Unknown,CVE-2025-23901
Oncle Tom,Mindmeister Shortcode,Unknown,CVE-2025-23896
One Plus Solution,jQuery TwentyTwenty,Unknown,CVE-2025-22546
OneTeamSoftware,Radio Buttons and Swatches for WooCommerce,Unknown,CVE-2025-24551
OpenHarmony,OpenHarmony,v4.1.0,"CVE-2025-0302, CVE-2025-0303, CVE-2025-0304"
Opentracker,Opentracker Analytics,Unknown,CVE-2025-22361
Optimal Access Inc.,KBucket,Unknown,CVE-2025-24562
Optimize Worldwide,Find Content IDs,Unknown,CVE-2025-23645
Oracle Corporation,JD Edwards EnterpriseOne Orchestrator,*,CVE-2025-21552
Oracle Corporation,JD Edwards EnterpriseOne Tools,*,"CVE-2025-21507, CVE-2025-21508, CVE-2025-21509, CVE-2025-21510, CVE-2025-21511, CVE-2025-21512, CVE-2025-21513, CVE-2025-21514, CVE-2025-21515, CVE-2025-21517, CVE-2025-21524, CVE-2025-21527, CVE-2025-21538"
Oracle Corporation,MySQL Cluster,*,"CVE-2025-21518, CVE-2025-21520, CVE-2025-21531, CVE-2025-21543"
Oracle Corporation,MySQL Connectors,*,CVE-2025-21548
Oracle Corporation,MySQL Enterprise Firewall,*,CVE-2025-21495
Oracle Corporation,MySQL Server,*,"CVE-2025-21490, CVE-2025-21491, CVE-2025-21492, CVE-2025-21493, CVE-2025-21494, CVE-2025-21497, CVE-2025-21499, CVE-2025-21500, CVE-2025-21501, CVE-2025-21503, CVE-2025-21504, CVE-2025-21505, CVE-2025-21519, CVE-2025-21521, CVE-2025-21522, CVE-2025-21523, CVE-2025-21525, CVE-2025-21529, CVE-2025-21534, CVE-2025-21536, CVE-2025-21540, CVE-2025-21546, CVE-2025-21555, CVE-2025-21559, CVE-2025-21566, CVE-2025-21567"
Oracle Corporation,Oracle Advanced Outbound Telephony,12.2.3,CVE-2025-21489
Oracle Corporation,Oracle Agile PLM Framework,9.3.6,"CVE-2025-21556, CVE-2025-21560, CVE-2025-21564, CVE-2025-21565"
Oracle Corporation,Oracle Analytics Desktop,*,CVE-2025-21532
Oracle Corporation,Oracle Application Express,23.2,CVE-2025-21557
Oracle Corporation,Oracle Communications Order and Service Management,7.4.0,"CVE-2025-21542, CVE-2025-21544, CVE-2025-21554"
Oracle Corporation,Oracle Customer Care,12.2.5,CVE-2025-21516
Oracle Corporation,Oracle Database Server,19.3,CVE-2025-21553
Oracle Corporation,Oracle Financial Services Behavior Detection Platform,8.0.8.1,CVE-2025-21550
Oracle Corporation,Oracle HTTP Server,12.2.1.4.0,CVE-2025-21498
Oracle Corporation,Oracle Hospitality OPERA 5,5.6.19.20,CVE-2025-21547
Oracle Corporation,Oracle Hyperion Data Relationship Management,11.2.19.0.000,"CVE-2025-21568, CVE-2025-21569"
Oracle Corporation,Oracle Java SE,Oracle Java SE:8u431-perf,CVE-2025-21502
Oracle Corporation,Oracle Life Sciences Argus Safety,8.2.3,CVE-2025-21570
Oracle Corporation,Oracle Project Foundation,12.2.3,CVE-2025-21506
Oracle Corporation,Oracle Solaris,11,CVE-2025-21551
Oracle Corporation,Oracle VM VirtualBox,*,"CVE-2025-21533, CVE-2025-21571"
Oracle Corporation,Oracle WebLogic Server,12.2.1.4.0,CVE-2025-21535
Oracle Corporation,Oracle WebLogic Server,14.1.1.0.0,CVE-2025-21549
Oracle Corporation,Oracle Workflow,12.2.3,CVE-2025-21541
Oracle Corporation,PeopleSoft Enterprise CC Common Application Objects,9.2,"CVE-2025-21562, CVE-2025-21563"
Oracle Corporation,PeopleSoft Enterprise FIN Cash Management,9.2,CVE-2025-21537
Oracle Corporation,PeopleSoft Enterprise FIN eSettlements,9.2,CVE-2025-21539
Oracle Corporation,PeopleSoft Enterprise PeopleTools,8.60,"CVE-2025-21530, CVE-2025-21545"
Oracle Corporation,PeopleSoft Enterprise SCM Purchasing,9.2,CVE-2025-21561
Oracle Corporation,Primavera P6 Enterprise Project Portfolio Management,20.12.1.0,"CVE-2025-21526, CVE-2025-21528, CVE-2025-21558"
Oren Yomtov,Mass Custom Fields Manager,Unknown,CVE-2025-23430
Oren hahiashvili,add custom google tag manager,Unknown,CVE-2025-23537
OriginalTips.com,WordPress Data Guard,Unknown,CVE-2025-23828
Overt Software Solutions LTD,EZPZ SAML SP Single Sign On (SSO),Unknown,CVE-2025-24749
Owen Cutajar & Hyder Jaffari,WordPress Auction Plugin,Unknown,CVE-2025-22349
Oğulcan Özügenç,Gallery and Lightbox,Unknown,CVE-2025-22797
P. Razvan,SexBundle,Unknown,CVE-2025-23551
P3JX,Cf7Save Extension,Unknown,CVE-2025-22331
PHPOffice,PhpSpreadsheet,">= 3.0.0, < 3.8.0",CVE-2025-22131
PHPOffice,PhpSpreadsheet,">= 3.0.0, < 3.9.0",CVE-2025-23210
PJFC,SyncFields,Unknown,CVE-2025-22359
PLANEX COMMUNICATIONS INC.,MZK-DP300N,firmware versions 1.05 and earlier,CVE-2025-21603
PMB Services,PMB platform,0,CVE-2025-0472
PMB Services,PMB platform,4.0.10,"CVE-2025-0471, CVE-2025-0473"
PPO Việt Nam (ppo.vn),PPO Call To Actions,Unknown,CVE-2025-24001
PQINA,Snippy,Unknown,CVE-2025-23803
Pablo Cornehl,WP Github,Unknown,CVE-2025-22549
Pagelayer Team,PageLayer,Unknown,CVE-2025-24573
Palo Alto Networks,Cloud NGFW,All,"CVE-2025-0103, CVE-2025-0104, CVE-2025-0105, CVE-2025-0106, CVE-2025-0107"
Parallels,Desktop,19.4.1 (54985),CVE-2025-0413
Paramveer Singh for Arete IT Private Limited,Post And Page Reactions,Unknown,CVE-2025-22568
Pascal Casier,Board Election,Unknown,CVE-2025-23499
Patreon,Patreon WordPress,Unknown,CVE-2025-24588
Paul Bearne,Author Avatars List/Block,Unknown,CVE-2025-22804
PayForm,PayForm,Unknown,CVE-2025-23872
Paytm,Paytm Payment Donation,Unknown,CVE-2025-24635
Pdfcrowd,Save as PDF plugin by Pdfcrowd,Unknown,CVE-2025-24671
Pedro Marcelo,Issuu Panel,Unknown,CVE-2025-23976
Peggy Kuo,More Link Modifier,Unknown,CVE-2025-23818
PenguinArts,Contact Form 7 Database – CFDB7,Unknown,CVE-2025-22351
Pepro Dev. Group,PeproDev WooCommerce Receipt Uploader,Unknown,CVE-2025-24574
Pete Dring,Create with Code,Unknown,CVE-2025-24638
Peter Shaw,LH Login Page,Unknown,CVE-2025-23547
Phillip.Gooch,Auto SEO,Unknown,CVE-2025-25147
PhiloPress,BP Email Assign Templates,Unknown,CVE-2025-24631
PickPlugins,Job Board Manager,Unknown,"CVE-2025-22679, CVE-2025-24622"
Piotnet,Piotnet Addons For Elementor,Unknown,CVE-2025-22333
PixelYourSite,PixelYourSite – Your smart PIXEL (TAG) Manager,Unknown,CVE-2025-22300
Pixelite,Meta Tag Manager,Unknown,CVE-2025-22260
Pixelite,WP FullCalendar,Unknown,CVE-2025-22261
Plestar Inc,Plestar Directory Listing,Unknown,CVE-2025-23723
Plethora Plugins,Plethora Plugins Tabs + Accordions,Unknown,CVE-2025-24709
PluginOps,MailChimp Subscribe Forms,Unknown,CVE-2025-22727
Poco,Blogger Image Import,2.1,CVE-2025-23689
Popup Maker,Popup Maker,Unknown,CVE-2025-24746
PortOne,PORTONE 우커머스 결제,Unknown,CVE-2025-24609
Post SMTP,Post SMTP,Unknown,CVE-2025-22800
Powerfusion,WPAchievements Free,Unknown,CVE-2025-22362
Pravin Durugkar,User Sync ActiveCampaign,Unknown,CVE-2025-23778
Predrag Supurović,Stop Comment Spam,Unknown,CVE-2025-23826
Prem Tiwari,FM Notification Bar,Unknown,CVE-2025-22641
Pressfore,Winning Portfolio,Unknown,CVE-2025-23865
PrestaShop,ps_contactinfo,<= 3.3.2,CVE-2025-24027
ProductDyno,ProductDyno,Unknown,CVE-2025-22320
PromoSimple,Giveaways and Contests by PromoSimple,Unknown,CVE-2025-23934
Provision-ISR,SH-4050A-2,20241220,CVE-2025-0224
Python Software Foundation,CPython,0,CVE-2025-0938
Qualifio,Wheel of fortune,all versions,"CVE-2025-0614, CVE-2025-0615"
Qwerty23,Rocket Media Library Mime Type,Unknown,CVE-2025-22768
RSTheme,Ultimate Coming Soon & Maintenance,Unknown,"CVE-2025-24543, CVE-2025-24546"
RTO GmbH,Dynamic Conditions,Unknown,CVE-2025-22642
RTO GmbH,DynamicTags,Unknown,CVE-2025-22348
RadiusTheme,Radius Blocks,Unknown,CVE-2025-24712
Rahe,Simple Image Sizes,3.2.3 and earlier,CVE-2025-24810
Rami Yushuvaev,Pastebin,Unknown,CVE-2025-23908
RaminMT,Links/Problem Reporter,Unknown,CVE-2025-23833
Rapid Sort,RSV GMaps,Unknown,CVE-2025-23665
Rara Theme,UltraLight,Unknown,CVE-2025-23998
RaymondDesign,Post & Page Notes,Unknown,CVE-2025-23715
Real Seguro Viagem,Real Seguro Viagem,Unknown,CVE-2025-23664
Really Simple Security,Really Simple SSL,Unknown,CVE-2025-24623
Realty Workstation,Realty Workstation,Unknown,CVE-2025-23477
Realtyna,Realtyna Provisioning,Unknown,CVE-2025-24656
Realwebcare,Image Gallery – Responsive Photo Gallery,Unknown,CVE-2025-24697
Red Hat,Fast Datapath for Red Hat Enterprise Linux 8,0:22.03.7-11.el8fdp,CVE-2025-0650
Red Hat,OpenShift Service Mesh 2,Unknown,"CVE-2025-0752, CVE-2025-0754"
Red Hat,Red Hat Build of Keycloak,Unknown,"CVE-2025-0604, CVE-2025-23367"
Red Hat,Red Hat Data Grid 8,Unknown,CVE-2025-0736
Red Hat,Red Hat Enterprise Linux 6,Unknown,CVE-2025-0306
Red Hat,Red Hat JBoss Data Grid 7,Unknown,CVE-2025-23366
Red Hat,Red Hat OpenShift Container Platform 4,Unknown,CVE-2025-0750
RedefiningTheWeb,PDF Generator Addon for Elementor Page Builder,Unknown,CVE-2025-24569
Regios,MyAnime Widget,Unknown,CVE-2025-23532
Rene Hermenau,QR Code Generator,Unknown,CVE-2025-23831
ReviewsTap,ReviewsTap,Unknown,CVE-2025-24561
Revmakx,WP Duplicate – WordPress Migration Plugin,Unknown,CVE-2025-24652
Revolutionart,Marmoset Viewer,Unknown,CVE-2025-23767
Rextheme,WP VR,Unknown,CVE-2025-24730
RichardoC,kube-audit-rest,< 1.0.16,CVE-2025-24884
Riosis Private Limited,Rio Photo Gallery,Unknown,CVE-2025-23597
Rise Group,Rise Mode Temp CPU,2.1,CVE-2025-0707
Rishi,On Page SEO + Whatsapp Chat Button,Unknown,CVE-2025-25138
Rob von Bothmer / SeoDev,S-DEV SEO,Unknown,CVE-2025-22744
Robert Nicholson,Copyright Safeguard Footer Notice,Unknown,CVE-2025-23870
Robert Peake,Responsive Flickr Slideshow,Unknown,CVE-2025-22807
RocaPress,Horizontal Line Shortcode,Unknown,CVE-2025-23791
Rockwell Automation,DataEdgePlatform DataMosaix™ Private Cloud,<=7.11,CVE-2025-0659
Rockwell Automation,FactoryTalk View Machine Edition,<V15,CVE-2025-24479
Rockwell Automation,FactoryTalk® AssetCentre,All prior to V15.00.001,"CVE-2025-0477, CVE-2025-0497, CVE-2025-0498"
Rockwell Automation,FactoryTalk® View Machine Edition,<V15,CVE-2025-24480
Rockwell Automation,FactoryTalk® View Site Edition,<V15,"CVE-2025-24481, CVE-2025-24482"
Rockwell Automation,GuardLogix 5580 SIL 3,33.011,CVE-2025-24478
Rockwell Automation,PowerFlex 755,<=16.002.279,CVE-2025-0631
Rodrigue,EXIF Viewer Classic,2.4.0 and prior,CVE-2025-23362
Rometheme,RomethemeKit For Elementor,Unknown,CVE-2025-24743
Roninwp,FAT Event Lite,Unknown,"CVE-2025-22508, CVE-2025-22718, CVE-2025-23915"
Roya Khosravi,SingSong,Unknown,CVE-2025-22522
Ryan Sutana,NV Slider,Unknown,CVE-2025-23661
Ryan Sutana,WP Panoramio,Unknown,CVE-2025-23662
S3Bubble,S3Player – WooCommerce & Elementor Integration,Unknown,CVE-2025-22818
SAP_SE,SAP Business Workflow and SAP Flexible Workflow,SAP_BASIS 753,CVE-2025-0058
SAP_SE,SAP BusinessObjects Business Intelligence Platform,ENTERPRISE 420,"CVE-2025-0060, CVE-2025-0061"
SAP_SE,SAP GUI for Java,BC-FES-JAV 7.80,CVE-2025-0056
SAP_SE,SAP GUI for Windows,BC-FES-GUI 8.0,CVE-2025-0055
SAP_SE,SAP NetWeaver AS ABAP and ABAP Platform,SAP_BASIS 700,CVE-2025-0063
SAP_SE,SAP NetWeaver AS JAVA (User Admin Application),ENGINEAPI 7.50,CVE-2025-0057
SAP_SE,SAP NetWeaver AS for ABAP and ABAP Platform (Internet Communication Framework),SAP_BASIS 700,CVE-2025-0066
SAP_SE,SAP NetWeaver Application Server ABAP,SAP_BASIS 700,CVE-2025-0068
SAP_SE,SAP NetWeaver Application Server ABAP (applications based on SAP GUI for HTML),KRNL64UC 7.53,CVE-2025-0059
SAP_SE,SAP NetWeaver Application Server Java,WD-RUNTIME 7.50,CVE-2025-0067
SAP_SE,SAP NetWeaver Application Server for ABAP and ABAP Platform,KRNL64NUC 7.22,CVE-2025-0070
